dealer_group,brand,model,release_year,country,fuel_type,engine_volume,transmission,drive_type,region,quantity,price,income,area,segment,class,date,is_mercur
Mercur Auto,Audi,A3,2018-01-01,DEU,F,1.4,Автомат,Передний,Алматы,1,28115.0,28115.0,г.Алматы,Легковые автомобили,C класс,2019-05-31,True
Mercur Auto,Audi,A3,2018-01-01,DEU,F,1.4,Автомат,Передний,Алматы,1,32246.99,32246.99,г.Алматы,Легковые автомобили,C класс,2019-08-31,True
Mercur Auto,Audi,A4,2018-01-01,DEU,F,1.4,Автомат,Передний,Алматы,1,32000.0,32000.0,г.Алматы,Легковые автомобили,D класс,2019-04-30,True
Mercur Auto,Audi,A4,2018-01-01,DEU,F,1.4,Автомат,Передний,Алматы,1,31929.0,31929.0,г.Алматы,Легковые автомобили,D класс,2019-07-31,True
Mercur Auto,Audi,A6,2017-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,42608.25485,42608.25485,г.Нур-Султан,Легковые автомобили,E класс,2019-02-28,True
Mercur Auto,Audi,A6,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,82344.0,82344.0,г.Алматы,Легковые автомобили,E класс,2019-05-31,True
Mercur Auto,Audi,A6,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,78940.0,78940.0,г.Алматы,Легковые автомобили,E класс,2019-06-30,True
Mercur Auto,Audi,A6,2017-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,64474.0,64474.0,г.Алматы,Легковые автомобили,E класс,2019-06-30,True
Mercur Auto,Audi,A6,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,84329.0,84329.0,г.Алматы,Легковые автомобили,E класс,2019-07-31,True
Mercur Auto,Audi,A6,2019-01-01,DEU,F,3.0,Автомат,Полный,Нур-Султан,1,88028.62533,88028.62533,г.Нур-Султан,Легковые автомобили,E класс,2019-08-31,True
Mercur Auto,Audi,A6,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,88028.62533,88028.62533,г.Алматы,Легковые автомобили,E класс,2019-08-31,True
Mercur Auto,Audi,A7,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,91600.0,91600.0,г.Алматы,Легковые автомобили,E класс,2019-09-30,True
Mercur Auto,Audi,A7,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,79500.0,79500.0,г.Алматы,Легковые автомобили,E класс,2019-09-30,True
Mercur Auto,Audi,A8,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,129935.2075,129935.2075,г.Алматы,Легковые автомобили,F класс,2019-01-31,True
Mercur Auto,Audi,A8,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,91132.0,91132.0,г.Алматы,Легковые автомобили,F класс,2019-07-31,True
Mercur Auto,Audi,A8,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,121300.0,121300.0,г.Алматы,Легковые автомобили,F класс,2019-09-30,True
Mercur Auto,Audi,A8,2018-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,124300.0,124300.0,г.Алматы,Легковые автомобили,F класс,2019-09-30,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,47835.59084,47835.59084,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-01-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,49296.33248,49296.33248,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-02-28,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,49100.0,49100.0,г.Нур-Султан,Внедорожники,Среднеразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,56563.0,56563.0,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,56250.0,56250.0,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,56719.0,56719.0,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,58750.0,58750.0,г.Алматы,Внедорожники,Среднеразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q5,2017-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,58723.466,58723.466,г.Нур-Султан,Внедорожники,Среднеразмерные SUV,2019-08-31,True
Mercur Auto,Audi,Q7,2017-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,88750.0,88750.0,г.Алматы,Внедорожники,Полноразмерные SUV,2019-03-31,True
Mercur Auto,Audi,Q7,2018-01-01,DEU,D,3.0,Автомат,Полный,Алматы,1,72108.0,72108.0,г.Алматы,Внедорожники,Полноразмерные SUV,2019-05-31,True
Mercur Auto,Audi,Q7,2017-01-01,DEU,F,3.0,Автомат,Полный,Нур-Султан,1,72215.0,72215.0,г.Нур-Султан,Внедорожники,Полноразмерные SUV,2019-05-31,True
Автоцентр-Бавария,BMW,3 серия,2019-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,2,41038.50199,82077.00398,г.Нур-Султан,Легковые автомобили,D класс,2019-05-31,False
Автоцентр-Бавария,BMW,3 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,40635.43936,40635.43936,г.Алматы,Легковые автомобили,D класс,2019-07-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,1,45118.74071,45118.74071,г.Нур-Султан,Легковые автомобили,E класс,2019-01-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,45118.74071,45118.74071,г.Алматы,Легковые автомобили,E класс,2019-01-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,37560.18878,37560.18878,г.Алматы,Легковые автомобили,E класс,2019-01-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,1,37611.10292,37611.10292,г.Нур-Султан,Легковые автомобили,E класс,2019-02-28,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,50769.16679,50769.16679,г.Нур-Султан,Легковые автомобили,E класс,2019-02-28,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,50769.16679,50769.16679,г.Алматы,Легковые автомобили,E класс,2019-02-28,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,4,50885.94164,203543.7666,г.Нур-Султан,Легковые автомобили,E класс,2019-03-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,2,45283.81963,90567.63926,г.Нур-Султан,Легковые автомобили,E класс,2019-03-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,1,37697.61273,37697.61273,г.Нур-Султан,Легковые автомобили,E класс,2019-03-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Алматы,2,50885.94164,101771.8833,г.Алматы,Легковые автомобили,E класс,2019-03-31,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,4.4,Автомат,Полный,Нур-Султан,1,121724.0553,121724.0553,г.Нур-Султан,Легковые автомобили,E класс,2019-04-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,3,50544.46485,151633.3945,г.Нур-Султан,Легковые автомобили,E класс,2019-04-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,4.4,Автомат,Полный,Алматы,1,121724.0553,121724.0553,г.Алматы,Легковые автомобили,E класс,2019-04-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Алматы,3,50544.46485,151633.3945,г.Алматы,Легковые автомобили,E класс,2019-04-30,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Усть-Каменогорск,1,48996.10625,48996.10625,Восточно-Казахстанская область,Легковые автомобили,E класс,2019-05-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,48996.10625,48996.10625,г.Нур-Султан,Легковые автомобили,E класс,2019-05-31,False
Автоцентр-Бавария,BMW,5 серия,2018-01-01,DEU,F,2.0,Автомат,Полный,Алматы,1,48996.10625,48996.10625,г.Алматы,Легковые автомобили,E класс,2019-05-31,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,2,48739.10718,97478.21436,г.Нур-Султан,Легковые автомобили,E класс,2019-06-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,1,43311.08596,43311.08596,г.Нур-Султан,Легковые автомобили,E класс,2019-06-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Задний,Нур-Султан,1,35960.64056,35960.64056,г.Нур-Султан,Легковые автомобили,E класс,2019-06-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,43311.08596,43311.08596,г.Алматы,Легковые автомобили,E класс,2019-06-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,48514.88744,48514.88744,г.Нур-Султан,Легковые автомобили,E класс,2019-07-31,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,48148.71169,48148.71169,г.Нур-Султан,Легковые автомобили,E класс,2019-08-31,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Алматы,2,48148.71169,96297.42337,г.Алматы,Легковые автомобили,E класс,2019-08-31,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,42746.52963,42746.52963,г.Алматы,Легковые автомобили,E класс,2019-09-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Алматы,2,48103.79706,96207.59411,г.Алматы,Легковые автомобили,E класс,2019-09-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,4,48103.79706,192415.1882,г.Нур-Султан,Легковые автомобили,E класс,2019-09-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Усть-Каменогорск,1,48103.79706,48103.79706,Восточно-Казахстанская область,Легковые автомобили,E класс,2019-09-30,False
Автоцентр-Бавария,BMW,5 серия,2019-01-01,DEU,F,2.0,Автомат,Полный,Уральск,1,48103.79706,48103.79706,Западно-Казахстанская область,Легковые автомобили,E класс,2019-09-30,False
Автоцентр-Бавария,BMW,6 серия,2018-01-01,DEU,F,2.0,Автомат,Задний,Алматы,1,53491.29053,53491.29053,г.Алматы,Легковые автомобили,Спортивные автомобили,2019-01-31,False
Автоцентр-Бавария,BMW,7 серия,2018-01-01,DEU,F,4.4,Автомат,Полный,Алматы,1,107360.4857,107360.4857,г.Алматы,Легковые автомобили,F класс,2019-02-28,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,6.6,Автомат,Полный,Алматы,1,144373.6774,144373.6774,г.Алматы,Легковые автомобили,F класс,2019-05-31,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,3.0,Автомат,Полный,Усть-Каменогорск,1,93520.28222,93520.28222,Восточно-Казахстанская область,Легковые автомобили,F класс,2019-06-30,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,2,93090.05084,186180.1017,г.Алматы,Легковые автомобили,F класс,2019-07-31,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,92387.43518,92387.43518,г.Алматы,Легковые автомобили,F класс,2019-08-31,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,3.0,Автомат,Полный,Алматы,1,92301.25328,92301.25328,г.Алматы,Легковые автомобили,F класс,2019-09-30,False
Автоцентр-Бавария,BMW,7 серия,2019-01-01,DEU,F,6.6,Автомат,Полный,Алматы,1,141744.3672,141744.3672,г.Алматы,Легковые автомобили,F класс,2019-09-30,False
Автоцентр-Бавария,BMW,X1,2018-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,2,36397.33464,72794.66929,г.Нур-Султан,Внедорожники,Компактные SUV,2019-01-31,False
Автоцентр-Бавария,BMW,X1,2019-01-01,DEU,F,2.0,Автомат,Полный,Усть-Каменогорск,1,36285.36123,36285.36123,Восточно-Казахстанская область,Внедорожники,Компактные SUV,2019-04-30,False
Автоцентр-Бавария,BMW,X1,2019-01-01,DEU,F,2.0,Автомат,Полный,Нур-Султан,1,35960.64056,35960.64056,г.Нур-Султан,Внедорожники,Компактные SUV,2019-06-30,False
Автоцентр-Бавария,BMW,X1,2019-01-01,DEU,F,1.5,Автомат,Передний,Нур-Султан,1,29288.69782,29288.69782,г.Нур-Султан,Внедорожники,Компактные SUV,2019-06-30,False
Автоцентр-Бавария,BMW,X1,2019-01-01,DEU,F,1.5,Автомат,Передний,Алматы,1,29288.69782,29288.69782,г.Алматы,Внедорожники,Компактные SUV,2019-06-30,False
